case,excitation,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent
NF,ET1,2.5,3.808219211813145,52.3287684725258
NF,ET3,3.5,3.6780368155554792,5.086766158727978
NF,ET6,3.4,3.65365467671228,7.460431668008237
NF,E_Toggle,3.4,3.2425546252352944,-4.630746316608986
NF,EVR,3.5,3.846801666650705,9.908619047163
SN,ET1,31.4,13.281562819164527,-57.70202923832953
SN,ET3,22.2,14.79783652819256,-33.34307870183531
SN,ET6,21.0,17.176084872264155,-18.209119655884972
SN,E_Toggle,20.4,21.927374911583836,7.487131919528617
SN,EVR,25.1,12.92697749111184,-48.49809764497275
