case,Tlog_ms,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent
NF,1,0.0,0.6384855221374696,
NF,2,,1.27997928906103,
NF,5,3.4,3.2425546252352944,-4.630746316608986
NF,10,,6.7461002994217925,
NF,20,,25.104038530364264,
NF,50,38.8,60.969476319726446,57.13782556630529
NF,100,,72.1599298111481,
SN,1,169.0,0.8406394814189507,-99.5025801885095
SN,2,,1.405796539932569,
SN,5,,3.304801093046563,
SN,10,,6.871685713733299,
SN,20,23.2,25.155947275868073,8.430807223569282
SN,50,,61.01067030522221,
SN,100,77.2,72.23799781948556,-6.42746396439695
