LPF,Tlog_ms,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent
No LPF,1,,0.8118132827488838,
No LPF,2,,1.4149015765333903,
No LPF,5,,3.368847763698747,
No LPF,10,,6.898346929624295,
No LPF,20,,25.146287873600325,
No LPF,50,,60.97860600974527,
No LPF,100,,72.12704176922597,
10 Hz,1,,52.71342659102424,
10 Hz,2,,52.39017870625483,
10 Hz,5,,51.74741026990658,
10 Hz,10,,51.237474986483825,
10 Hz,20,,38.26088163744718,
10 Hz,50,,56.22393525140086,
10 Hz,100,,73.60751706829156,
50 Hz,1,,18.94499222781931,
50 Hz,2,,18.646453218637653,
50 Hz,5,,18.044805235426807,
50 Hz,10,,18.18584740247136,
50 Hz,20,23.2,20.72955920272617,-10.648451712387203
50 Hz,50,,59.21644264458495,
50 Hz,100,,72.41933278283757,
100 Hz,1,,10.226396167257896,
100 Hz,2,,10.158322494681993,
100 Hz,5,,10.286243382239322,
100 Hz,10,,11.780390821113942,
100 Hz,20,20.4,21.973169777097166,7.711616554397878
100 Hz,50,,60.026973835606455,
100 Hz,100,,72.27280335771137,
