case,excitation,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent,samples
NF,ET1,2.5,0.05753588098933503,-97.69856476042659,1201
NF,ET3,3.5,0.03696157300880835,-98.9439550568912,1201
NF,ET6,3.4,0.07424477533523079,-97.81633013719909,1201
NF,E_Toggle,3.4,0.08388062479897189,-97.53292280003024,1201
NF,EVR,3.5,0.06693993553848562,-98.08743041318613,1201
SN,ET1,31.4,0.5409861489094131,-98.27711417544774,301
SN,ET3,22.2,0.43191030092255106,-98.05445810395248,301
SN,ET6,21.0,0.5668666968079896,-97.30063477710482,301
SN,E_Toggle,20.4,1.2732373211179118,-93.75864058275533,301
SN,EVR,25.1,1.2301952079533842,-95.09882387269569,301
