case,Tlog_ms,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent,samples
NF,1,0.0,0.010562613589633325,,6001
NF,2,,0.023039862859105226,,3001
NF,5,3.4,0.08388062479897189,-97.53292280003024,1201
NF,10,,0.2831684218090018,,601
NF,20,,0.6620117551610217,,301
NF,50,38.8,2.909987554289573,-92.50003207657328,121
NF,100,,8.772491250115277,,61
SN,1,169.0,1.006766512287509,-99.40428017024408,6001
SN,2,,0.565863582668631,,3001
SN,5,,0.6631137641662215,,1201
SN,10,,1.483244619870021,,601
SN,20,23.2,2.791675951985246,-87.96691400006361,301
SN,50,,2.33410932978841,,121
SN,100,77.2,8.384899020984161,-89.13873183810342,61
