LPF,Tlog_ms,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent,samples
No LPF,1,,0.6783384743459099,,6001
No LPF,2,,0.47581992534218526,,3001
No LPF,5,,1.8687793117356095,,1201
No LPF,10,,1.501105455846634,,601
No LPF,20,,0.8597936652269887,,301
No LPF,50,,1.5175403152222298,,121
No LPF,100,,11.588420741354135,,61
10 Hz,1,,3.384241129119145,,6001
10 Hz,2,,3.8975601757945273,,3001
10 Hz,5,,5.154838643192811,,1201
10 Hz,10,,5.658402593057932,,601
10 Hz,20,,4.996288255695303,,301
10 Hz,50,,6.8951015598310015,,121
10 Hz,100,,16.932349230290324,,61
50 Hz,1,,0.43012566265272234,,6001
50 Hz,2,,0.724712603093015,,3001
50 Hz,5,,2.0948384936164492,,1201
50 Hz,10,,1.8604631147572788,,601
50 Hz,20,23.2,1.0387303111760384,-95.52271417596535,301
50 Hz,50,,1.9553065902694746,,121
50 Hz,100,,12.45356248946094,,61
100 Hz,1,,0.5254112490529064,,6001
100 Hz,2,,0.5682382541049529,,3001
100 Hz,5,,1.955302307942827,,1201
100 Hz,10,,1.6482617915734386,,601
100 Hz,20,20.4,0.885856657308524,-95.65756540535037,301
100 Hz,50,,1.6632250198816134,,121
100 Hz,100,,12.005133689855535,,61
